Q0045|COX1|YGL187c|COX4|||902.01.01.02.01
Q0045|COX1|YGL187c|COX4|Cox4p is associated with subunit 1 and 3 of the Cytochrome c oxidase complex|8638158|902.01.01.02.01
Q0085|ATP6|YPL078c|ATP4|Cys54 of Atp4p bounds Atp6p by a disulfide bridge|9425084|902.01.01.02.01
Q0085|ATP6|YPL078c|ATP4|cross linking;cross-linking|9425084,9893937|902.01.01.02.01.05
Q0250|COX2|YER154w|OXA1|analyzed by chemical cross-linking|9482871|902.01.01.02.01.05
Q0275|COX3|YER154w|OXA1|analyzed by chemical cross-linking|9482871|902.01.01.02.01.05
Q0275|COX3|YGL187c|COX4|associated with subunit 1 and 3 of the cytochrome-c oxidase complex;Cox4p is associated with subunit 1 and 3 of the Cytochrome c oxidase complex|8638158|902.01.01.02.01
YAL001c|TFC3|YDR362c|TFC6|dominant mutation TFC6-E330K suppress the phenotype of tfc3-G349E;dominant mutation TFC6-E330K suppresses the phenotype of tfc3-G349E;Tfc3p and Tfc6p cooperate in DNA binding;suppression partial alteration|9418847|902.01.01.02.02.01.01.02
YAL001c|TFC3|YDR362c|TFC6|gel retardation experiment;Tfc3p and Tfc6p cooperate in DNA binding|9418847|902.01.01.02.01.04
YAL001c|TFC3|YER148w|SPT15|mutant tsv115 can be weakly suppressed by SPT15 overexpression|8617241|902.01.01.02.02
YAL001c|TFC3|YGR246c|BRF1|mutant tsv115 can be suppressed by BRF1 overexpression;mutant tsv115 can be suppressed by overexpression of BRF1;suppression overexpression||902.01.01.02.02.01.02.01
YAL002w|VPS8|YOR089c|VPS21|VPS21 overexpression partially suppresses vps8 null mutant phenotype;suppression overexpression||902.01.01.02.02.01.02.01
YAL003w|EFB1|YBR118w|TEF2|overproduction can suppress efb1 null mutation; suppression overexpression||902.01.01.02.02.01.02.01
YAL003w|EFB1|YBR118w|TEF2|null mutant can be suppressed by overproduction of Tef2p|8647386|902.01.01.02.02.01
YAL003w|EFB1|YBR118w|TEF2|copurification, crystal structure|11134944,8647386|902.01.01.02.01
YAL003w|EFB1|YKL081w|TEF4|paart of translation elongation factor EF-1 gamma|8041634|902.01.01.02.01
YAL003w|EFB1|YPR080w|TEF1|efb1 null mutant can be suppressed by overproduction of Tef1p although suppressed strains grow slowly and have increased sensitivity cold and to elongation inhibitorsuppression||902.01.01.02.02.01
YAL003w|EFB1|YPR080w|TEF1|copurification, crystal structure|11134944,8647386|902.01.01.02.01
YAL004w|YAL004W|YML109w|ZDS2|two hybrid library: Yal004w Zds2(BD)|11489916|902.01.01.02.01.07,902.01.09.02
YAL005c|SSA1|YAL040c|CLN3|Ssa1p was found associated with Cln3(404-488)-beta-gal|8668184|902.01.01.02.01
YAL005c|SSA1|YER151c|UBP3|ssa1 ssa2 ts mutant phenotype is suppressed by overexpression of Ubp3p;UBP3 is a high copy suppressor of ssa1 ssa2 temperature sensitivity;suppression overexpression|8982460|902.01.01.02.02.01.02.01
YAL005c|SSA1|YJL061w|NUP82|overexpression of SSA1 is sufficient to suppress the import defects of green fluorescent protein fused to the SV-40 large T antigen nuclear localization signal (NLS-GFP) in nup82-3 cells;overexpression of SSA1 is sufficient to suppress the import defects||902.01.01.02.02.01.02.01
YAL005c|SSA1|YLR310c|CDC25|coimmunoprecipitation; copurification;epitope-tagged coimmuno affinity chromatography;Ssa1p copurifies with C-terminal part of Cdc25p|10094633|902.01.01.02.01.01.02
YAL005c|SSA1|YNL064c|YDJ1|gel retardation experiment;binds with Ssa1p to prepro-alpha factor and stimulates uptake in an in vitro ER-translocation assay;in vitro interaction|1400408|902.01.01.02.01.04
YAL005c|SSA1|YNL189w|SRP1|overexpression of SSA1 is sufficient to suppress the import defects of green fluorescent protein fused to the SV-40 large T antigen nuclear localization signal (NLS-GFP) in srp1-31 cells;overexpression of SSA1 is sufficient to suppress the NLS-GFP import||902.01.01.02.02.01.02.01
YAL005c|SSA1|YPL240c|HSP82|affinity chromatography;epitope-tagged chelate affinity chromatography|7929182|902.01.01.02.01.02
YAL009w|SPO7|YDL116w|NUP84|synthetic lethal|9822591|902.01.01.02.02.02.01
YAL009w|SPO7|YGL100w|SEH1|synthetic growth defect|9822591|902.01.01.02.02.02
